слово idf tf-idf
blizzard 2.1172712956557644 0.0018904207996926468
blizzcon 2.1172712956557644 0.0008448808043319092
blog 2.1172712956557644 0.001209869311803294
bloggerstream 2.1172712956557644 0.07110239425709657
bloody 2.1172712956557644 0.0016897616086638185
bloomberg 1.3391200452721206 0.009078305885892153
blue 2.1172712956557644 0.0031910644998579723
bmp 2.1172712956557644 0.002004991757249777
bmw 1.0758786104975393 0.014070554072746613
bmwв 2.1172712956557644 0.0019282980834751952
bmwжаркий 1.816241299991783 0.003423640527788469
bmwчто 1.816241299991783 0.003624313912380153
board 2.1172712956557644 0.0022151823557812977
bobkeys 2.1172712956557644 0.0004430364711562596
boe 2.1172712956557644 0.0012800914725851055
boeing 1.515211304327802 0.0059132839310932165
bol 2.1172712956557644 0.002666588533571492
book 2.1172712956557644 0.0016897616086638185
booking 2.1172712956557644 0.0007847558545796014
boost 2.1172712956557644 0.002686892507177366
boosty 2.1172712956557644 0.0037808415993852936
borisova@eg 2.1172712956557644 0.0024821468882248116
bormolun 2.1172712956557644 0.001095329175196981
boston 2.1172712956557644 0.001261782655337166
bot 2.1172712956557644 0.0007143290471173294
bouchet 2.1172712956557644 0.0012800914725851055
boulder 2.1172712956557644 0.002271750317227215
boundary 1.816241299991783 0.001976040419227828
bounty 2.1172712956557644 0.0008448808043319092
bq 2.1172712956557644 0.0013291094134687787
br 2.1172712956557644 0.001809633586030568
brame 2.1172712956557644 0.0018904207996926468
brandmonitor 2.1172712956557644 0.00044743687566689864
braun 2.1172712956557644 0.00044743687566689864
break 2.1172712956557644 0.0007847558545796014
breakpoint 2.1172712956557644 0.0018904207996926468
brent 1.2721732556415075 0.01108059592459811
bristol 2.1172712956557644 0.0004430364711562596
brisy 2.1172712956557644 0.001095329175196981
broken 2.1172712956557644 0.0018605195919646435
bros 1.6401500409361018 0.009135016430632333
browser 2.1172712956557644 0.0018605195919646435
brune 2.1172712956557644 0.002271750317227215
btc 2.1172712956557644 0.0008448808043319092
bubble 2.1172712956557644 0.0018605195919646435
bubzkji 2.1172712956557644 0.0018904207996926468
buck 2.1172712956557644 0.004009983514499554
bugatti 2.1172712956557644 0.001809633586030568
build 2.1172712956557644 0.0008860729423125191
bulletstorm 2.1172712956557644 0.0018605195919646435
business 1.816241299991783 0.007089914777893291
buta 2.1172712956557644 0.0015695117091592027
bv 2.1172712956557644 0.0008860729423125191
by 1.0758786104975393 0.020846971512740738
bykski 2.1172712956557644 0.0004430364711562596
byneur 2.1172712956557644 0.0020616078828196343
bynpln 2.1172712956557644 0.0020616078828196343
bynrub 2.1172712956557644 0.0020616078828196343
bynuah 2.1172712956557644 0.0020616078828196343
bynминск 2.1172712956557644 0.0020616078828196343
bypol 2.1172712956557644 0.0020616078828196343
byт 2.1172712956557644 0.002357763135474125
böyük 2.1172712956557644 0.0015695117091592027
c 0.9131513129998394 0.025896560050217225
c 2.1172712956557644 0.0010120799692427173
cac 2.1172712956557644 0.0013118161683121218
cacblabdlkabog 1.816241299991783 0.00352142057611846
cache 2.1172712956557644 0.002357763135474125
cackle 2.1172712956557644 0.0024821468882248116
calendar 2.1172712956557644 0.001209869311803294
call 1.6401500409361018 0.006023987687586756
camera_alt 2.1172712956557644 0.021219868219267128
camry 2.1172712956557644 0.0019496052446185677
canada 2.1172712956557644 0.005800743275769218
captainpirog 2.1172712956557644 0.00454350063445443
car 2.1172712956557644 0.003917245690389944
carbon 2.1172712956557644 0.0008860729423125191
careymahoney 2.1172712956557644 0.002190658350393962
carnival 2.1172712956557644 0.001809633586030568
cas 1.816241299991783 0.00279076622127475
casino 2.1172712956557644 0.002900371637884609
categoriesru 2.1172712956557644 0.005380613203699529
category 2.1172712956557644 0.005380613203699529
categoryid 2.1172712956557644 0.010761226407399058
cavablar 2.1172712956557644 0.0007847558545796014
cd 2.1172712956557644 0.0016897616086638185
cdec 2.1172712956557644 0.0037808415993852936
ceh 2.1172712956557644 0.0018904207996926468
celta 2.1172712956557644 0.0009025026835702321
centroarts 2.1172712956557644 0.0023870025881124737
ceo 2.1172712956557644 0.0017102352953600683
ceou 2.1172712956557644 0.0012918067697716682
ceps 2.1172712956557644 0.001518845979666976
cerato 2.1172712956557644 0.00044743687566689864
cfo 2.1172712956557644 0.0012918067697716682
cgi 2.1172712956557644 0.0004430364711562596
championship 1.816241299991783 0.0043413783017164104
chance 2.1172712956557644 0.0013118161683121218
chanel 2.1172712956557644 0.00044743687566689864
chanelв 2.1172712956557644 0.00044743687566689864
change 1.6401500409361018 0.003853689456572423
channel 1.816241299991783 0.0021321390456767913
channelone_rus 2.1172712956557644 0.00139019783037148
charmer 2.1172712956557644 0.0035524686168720877
charter 2.1172712956557644 0.0043253754763141255
charter@gmail 2.1172712956557644 0.0021626877381570628
check 2.1172712956557644 0.002686892507177366
chery 1.816241299991783 0.006075135434477615
chess 2.1172712956557644 0.0012800914725851055
chevalier 2.1172712956557644 0.0012800914725851055
chevelle 2.1172712956557644 0.003964927519954615
chevrolet 1.6401500409361018 0.0065546883474416305
chi 2.1172712956557644 0.0008448808043319092
chieftec 2.1172712956557644 0.0004430364711562596
china 2.1172712956557644 0.0004430364711562596
chiron 2.1172712956557644 0.001809633586030568
chistyakov 2.1172712956557644 0.0010538931287485138
chn 2.1172712956557644 0.0012800914725851055
choice 2.1172712956557644 0.001209869311803294
chrisj 2.1172712956557644 0.0018904207996926468
chrome 1.4183012913197455 0.0667723928187697
circuit 1.816241299991783 0.0026660610966259897
citi 2.1172712956557644 0.0016897616086638185
citroen 2.1172712956557644 0.0019824637599773075
city 1.515211304327802 0.004508888272735372
cl 2.1172712956557644 0.0016897616086638185
clank 2.1172712956557644 0.002271750317227215
clark 2.1172712956557644 0.002190658350393962
class 2.1172712956557644 0.003619267172061136
claymore 2.1172712956557644 0.0004430364711562596
clearнайти 2.1172712956557644 0.0017102352953600683
clicks 2.1172712956557644 0.05649643863884505
close 1.6401500409361018 0.008936991182728657
club 1.816241299991783 0.0032233388499996497
clubhouse 1.1630287862164395 0.012573455878165316
clubhouseэксперты 2.1172712956557644 0.00044743687566689864
cmkgxmac 2.1172712956557644 0.0004430364711562596
cnn 1.1172712956557642 0.015286591603181923
cny 2.1172712956557644 0.0012425301030843689
co 1.816241299991783 0.005724444338222176
coalla 2.1172712956557644 0.0017747454280433901
code 2.1172712956557644 0.0027425793985178296
coffe 2.1172712956557644 0.0007847558545796014
coffee 2.1172712956557644 0.0015695117091592027
coffeebar 2.1172712956557644 0.0007847558545796014
coffeemania 2.1172712956557644 0.0007847558545796014
coffees 2.1172712956557644 0.0007847558545796014
coffelea 2.1172712956557644 0.0007847558545796014
coin_miner 2.1172712956557644 0.0008860729423125191
com 0.8385176947029352 0.04899552087494804
come 2.1172712956557644 0.0013291094134687787
committe 2.1172712956557644 0.0012800914725851055
commoditiesвестник 2.1172712956557644 0.0024821468882248116
common 2.1172712956557644 0.001209869311803294
commons 2.1172712956557644 0.0010323116994908651
company 1.816241299991783 0.0014332732287815587
compeo 2.1172712956557644 0.0022151823557812977
computex 2.1172712956557644 0.0008448808043319092
comtwitterfacebook 2.1172712956557644 0.001958622845194972
comинтернет 2.1172712956557644 0.004448048940453287
comмнение 2.1172712956557644 0.004448048940453287
comмосгорсуд 2.1172712956557644 0.004448048940453287
comучредитель 2.1172712956557644 0.004448048940453287
